Top_Genes
TGFA
PDGFA
DGAT2
EDN2
SFXN1
FAM83A
MME
UCHL1
GABARAPL1
CPEB3
FHL1
ELF5
TMEM220
MMP11
GYS1
EVPL
ABAT
NOVA1
FABP7
KIAA1211
UBE2L3
ANGPTL7
TUBB2B
TGFBR2
WISP1
PLAT
SPP1
COMP
COL10A1
PPP2R2C
NCBP2
PLAU
SLC24A2
MFAP5
PPL
NPY2R
CST1
TSPAN17
HMGCS2
RBP4
ALG1
OXTR
B4GALT3
GRIN2A
SLC26A3
ADAMTS5
NRN1
ITIH5
TSPAN8
NEK2
AOC3
SCN4B
RERGL
FBN2
HBB
DNM3
NAT8L
NVL
CEL
S100A2
KIF26B
TSHZ2
HK3
CSN2
EPT1
TTYH1
ALB
MMP12
NPR3
GAL
ARHGAP20
ATP1A2
IL18
CSNK2A1
PGM5
HOXA7
APOO
CCNE2
MYH11
LMOD1
CLEC5A
SDPR
MMP10
SMYD1
ETV7
SPHK1
ETV1
SLCO1A2
SLC35A2
CST2
S100P
CTHRC1
