TGFA
PDGFA
MME
CPEB3
GYS1
ABAT
TGFBR2
PLAT
SPP1
COMP
COL10A1
PPP2R2C
PLAU
CST1
HMGCS2
SLC26A3
AOC3
HBB
CEL
ATP1A2
IL18
CCNE2
ETV7
ETV1
CST2
