MME
GABARAPL1
CA12
JUN
TGFBR2
S1PR1
LEP
SPP1
COL10A1
EGFR
ZBTB16
CA3
IL11RA
BMP2
GNG11
CXCL2
ATP1A2
FN1
PCK1
ITGB4
GHR
CCNE2
CA4
