Top_Genes
TGFBR3
MME
GABARAPL1
RAD54B
TMEM132A
MEOX1
RSAD2
DPYSL2
RARRES3
CA12
JUN
NOVA1
NTRK2
NPY1R
TGFBR2
ADM
S1PR1
LEP
PPP1R1A
LYVE1
SPP1
COL10A1
DMD
RARRES2
MFAP5
NDC80
POSTN
LGALS3
ANGPTL4
SLC22A3
HSPB7
MMP13
ACSM5
GPX3
ADAMTS5
EGFR
TPPP3
ALDH1L1
NRN1
ITIH5
SEMA3G
GPSM2
NEK2
SPTBN1
S100B
ZBTB16
CA3
CHRDL1
HBB
FOSB
PCOLCE2
MEOX2
LPCAT1
PALMD
MUC1
IL11RA
ITGB1BP1
TXNIP
IGFBP6
FAM107A
SLC20A1
BMP2
NDN
SDC2
GNG11
ADH1C
NANS
MFAP4
NACC2
SERPINF1
CXCL2
ATP1A2
FN1
PCK1
ITGB4
TF
CFH
GHR
CFB
CCNE2
CA4
TIMP4
SDPR
FOXN3
FAM13A
S100P
EPM2AIP1
