Top_Genes
SMAD9
SULF1
CD300LG
GABARAPL1
CREB5
SP1
IFT80
MMP11
COL14A1
CHL1
ZC3H10
SMAD3
FLNC
TGFBR2
WISP1
ANGPTL1
UNC5B
COMP
MRC1
COL10A1
RPS28
HEY2
PLAC9
SASH1
GPIHBP1
POSTN
RGS2
FAP
OXTR
ANGPTL4
TM4SF18
ROBO3
ACSM5
XDH
LRRC15
SPRY2
COX4I2
ADAMTS5
TAF8
CSRNP3
TLN2
TPPP3
DPT
HSD17B6
XIAP
ITIH5
GPSM2
S100B
C7
SYNM
CA3
RERGL
HBB
PCOLCE2
LEO1
PALMD
KIF26B
IL11RA
FAM3D
BGN
IGFBP6
CCL28
STOX2
PDLIM3
CITED1
SPHKAP
TMTC1
MSRA
NMT2
PENK
ATP1A2
ATP1A1
OAZ3
PGM5
TF
CFH
HOXA7
ST13
CCNE2
CA4
IGSF9
SMC4
PAMR1
SDPR
PPP1R12B
COX4I1
PI16
CCL21
CRTAP
PNN
UQCRC2
C22orf39
