SMAD9
CREB5
SP1
COL14A1
SMAD3
FLNC
TGFBR2
COMP
COL10A1
COX4I2
TLN2
XIAP
CA3
ATP1A2
ATP1A1
TF
CA4
PPP1R12B
COX4I1
UQCRC2
