Gene.symbol
CTSS
ADAMTS5
UNG
SFRP1
CGNL1
CXCL16
EFHB
SMAP2
C4BPA
ARHGAP20
SEC24D
XRCC2
SLC24A2
CLCA4
TUB
TGFBI
ACTG2
OSBPL11
COLCA1
FAM114A1
CCNL1
STAB2
SHISA5
SGPL1
AFAP1L2
RNASEH2A
FEN1
PDLIM3
ARHGAP18
EDEM3
OAS3
USP38
TESC
GABRP
KIT
CD81
BANF1
CDC20
HLF
LACTB
LAMB3
GIPC2
PIK3R1
FBXO28
PAK3
EGR2
CDCP1
RNF149
PLP1
FMO2
SRM
RAD51
PIGW
GANAB
CLIC4
RRM2B
FTL
ZNF721
PAG1
LMNB1
SLC36A1
CLK1
SOSTDC1
GZMA
TNFAIP6
IL18
STX6
BCAT1
SLC6A6
CTHRC1
AK5
MT1X
KRT17
GPRC5A
PLAUR
ELOVL6
MCM2
PKM
SNX10
GINS3
ABCF2
SNRPA
HOXA5
CDCA5
LOX
RABIF
CDC25C
DEPDC1B
KRAS
BIRC5
HMGB3
TAP1
TNFRSF9
OAS1
STX2
CITED1
ADIPOR2
OLFM4
ATP13A5
PTGS2
TUBB4B
RGS2
DDX19A
ACO2
PPP4R4
PPM1G
CHST9
NUAK2
ASF1B
OAS2
FAM91A1
ITIH5
RNASE1
KLHDC1
TBC1D4
COL12A1
ACSL1
TMTC1
SCGB3A1
STAT1
RELN
WEE1
HIF1A
RIC3
LYZ
PGK1
FREM1
MCM7
SMYD1
MCM4
ABCB1
MME
SLC2A3
ITGAX
ITM2A
CASP3
HOXA2
PAK5
BBOF1
RANBP1
NEDD9
KIF27
CSRNP3
ABHD12
RPL8
LCP2
PRSS16
LNPK
ZNF483
PNISR
SYN2
SAMSN1
RAI14
ADH1C
ST8SIA2
CLK4
RFC2
ARID4A
ADAMTS6
ZBTB16
LMCD1
ASAP1
DCK
SPOCK1
NAT10
PIGR
TGFBR3
PCNA
CKAP4
CX3CL1
TMOD3
THBS2
SRPRB
SLC2A1
OXTR
FNBP4
ALG3
PIK3C2G
RRN3
TUBG1
PTPRZ1
PANX1
COA7
ERO1A
IFIH1
MAP2K1
MNDA
ECT2
SAMD9
COL17A1
TMEM97
SPRY2
C1R
CDC45
MCM3
CMYA5
IL33
ENG
SLC15A4
TTC13
NUTF2
PTN
DMD
IDS
TM4SF18
CACHD1
LAMB1
RHOJ
RECQL
CPVL
NTRK2
NME2
ZNF518A
RNF213
B2M
PDE1C
MEOX2
SLAIN1
IFIT3
GNL3L
TNFSF4
MYEOV
CENPU
NRP2
MATN2
GPC6
TAF2
EMCN
CDR2
CD109
CLDN8
POC1A
EVI2A
PAMR1
SSRP1
HELLS
SLC4A7
TDO2
PHTF2
PMEPA1
ZWINT
PRKCD
EIF4G1
INTS8
TP63
DUSP1
ZNF823
HSPA13
FGFBP1
PIK3CG
SUV39H1
RPS6KC1
TKT
CTSL
GALM
FCGR3A
IMP4
HSPD1
INTU
PPIB
PIK3AP1
ARL4A
RNF128
MS4A6A
SEC23A
SLC50A1
FOXRED2
SYNM
MCM6
SAMD5
INPP4A
ABHD3
MRPL37
HOXA7
EIF3B
ASPN
TICRR
FCGR2A
HPS3
THBS1
NCEH1
SLC30A1
LAPTM4B
TMEM161B
GPM6B
CAPG
CCT7
TLR1
GREM1
JUN
FNDC1
ITGA11
PDE4DIP
LRRFIP1
DKC1
KRT5
DHRS7
TWSG1
BHLHE41
KLHL13
CXorf38
MFAP2
PTDSS1
CDCA8
F2R
C10orf90
SELPLG
TIMELESS
CFAP69
HSD17B6
POLR2D
OCIAD2
ZNF700
PLAU
CDC25A
LRP2
MEGF8
EAF1
MMP14
MSC
ENC1
ZNF254
LIFR
EPHB1
RAB32
CCDC186
SERPINH1
ECM1
ZNF83
LUZP2
RRS1
RAC2
KRT14
MIR99AHG
GALNT1
MDH2
MFAP5
GAL3ST4
PLOD2
PDIA4
NR4A2
ADAM9
ASPM
DST
