PTGS2
JUN
PLAUR
PAK3
C4BPA
PLAU
STAT1
CDC25A
ITGAX
RGS2
OXTR
BCAT1
SPRY2
HSD17B6
ABCB1
ADH1C
IL18
SRM
PIK3AP1
F2R
