Top_Genes
TGFBR3
LIFR
MFAP2
CAPG
MME
GPC6
PTGS2
DST
JUN
EAF1
TESC
CDR2
NTRK2
GIPC2
PLAUR
MSC
PAK3
DMD
C4BPA
PRSS16
PLAU
SLC24A2
MFAP5
STAB2
STAT1
ASF1B
CDC25A
ITGAX
RGS2
SERPINH1
OXTR
BCAT1
TM4SF18
SPRY2
ADAMTS5
CSRNP3
DDX19A
OLFM4
HSD17B6
ITIH5
ASAP1
RNASE1
SYNM
HOXA2
CACHD1
LOX
MEOX2
FGFBP1
ALG3
C10orf90
SGPL1
ECT2
RAI14
SLC4A7
CHST9
LUZP2
ABCB1
PDLIM3
CITED1
HOXA5
PIGW
IFIT3
CLDN8
ADH1C
ASPN
FAM91A1
ZNF700
ARHGAP20
IL18
LYZ
NUAK2
DUSP1
SRM
ABHD3
TWSG1
PAMR1
GPRC5A
CDCP1
SMYD1
PIK3AP1
F2R
FNDC1
CTHRC1
