Gene.symbol
ISG20
TMEM220
IQCJ-SCHIP1
DMRT2
EDNRB
PACC1
LOC107984837
KLHL29
SLX4IP
LOC105372798
GNAL
TMEM255A
FAM91A1
ARID4B
NUP50
SCN3B
ABCB10
TNS2-AS1
LINC03044
PRICKLE2
PPP1CA
BOC
ENC1
CDKN2A
MATN2
COL14A1
BOLA2B
ITPRIPL1
PSTPIP1
SLC52A3
AGMAT
TPRN
STXBP2
ZBED4
SLC7A5
NUAK2
PSRC1
LOC105370113
TLN2
LOC112268170
RASSF5
ASPHD2
ESRP1
MAPK9
POLB
ITGAL
BOLA2-SMG1P6
EZH1
DEPDC1B
HPD
ZWILCH
LOC112268079
B4GALT1
UBE2C
CTSD
STOX2
CD83
LAMB2
LINC02814
EDEM1
TNXB
GABRB1
CNKSR2
APOO
CPE
IRS1
EVPL
PCDHGA5
GPC1-AS1
ADAM33
NNAT
RYR1
TRIM9
CSRNP3
SPECC1
MCM2
ARF1
RGS19
IFFO2
KCNJ10
RHPN1
PARD6B
MGAT4A
ROBO3
PCDHGC5
PCDHGA6
KIF15
PROS1
NRGN
NPAS3
COL23A1
MIR9898
MYCL
EPOP
PSME4
TANC2
CNTNAP3P2
COPA
NLK
MYRIP
CDC7
GTSE1
TRIP13
RAD51
CPSF2
TRIM2
EMILIN3
SNX33
NAALAD2
RN7SK
GPC4
ZNF204P
BGN
B4GAT1
ARID5B
SLC9A3R1-AS1
LINC00467
GPRASP2
ENAH
TMEM132A
SLC20A1
EDA
IL4I1
CENPF
IGHG3
TGFBR3
P2RX5
LRRC37A6P
UST
TPT1-AS1
EFNB1
H3P6
LOC105371064
AQP1
IDH2-DT
EDIL3
NDC80
BCHE
HPRT1
GINS4
GFUS
SPRY2
MGAT2
MPHOSPH9
PCDH9
STIP1
PLAGL1
ELF3-AS1
TMTC4
ERO1A
RAD9A
NREP
MMRN2
ITGB7
CAB39L
PDLIM4
LURAP1
KIF4A
PLEKHF2
TWIST2
SMYD3
SHROOM2
UBE2A
LRIG3
LOC107986583
DHTKD1
TIPRL
APEX2
LOC105372064
TBC1D7-LOC100130357
JPT1
FOXC1
FLVCR1
IRX1
PELI2
HDAC5
MCM8
CFL2
TRARG1
BMF
CDK1
ORC6
RAPGEF3
PLXNA4
FANCD2
RAB9B
CENPM
JPH2
IGHG1
B4GALT4
REEP4
HPSE
NECTIN3
SYNGR1
ADIRF
LOC107986694
BIRC5
ZNF804A
LMNB1
EBF2
TMEM100
IGF2
ZNF678
LHFPL6
COTL1
KCNB1
TUBA1C
PLEKHH2
PDIA4
GJC2
ADGRL2
SGCE
MGARP
HSH2D
INTS8
USP44
DNAH14
GPM6B
MRAS
LIFR
ISG20L2
HLA-DPB1
EXO1
TNFRSF10D
FAT4
ITGAX
KL
CDC14B
SLC2A10
PRCD
KLHL30
BMP5
INS-IGF2
TRMT6
TMEM249
SPATS2
GCOM1
SLC19A3
CENPA
FAM13C
CREB3L4
LINC01588
SIGLEC9
DCHS2
STX1A
IFI30
OSR1
PROX1
LAMA2
BCL11B
PAK3
SRMS
WDFY4
GUSBP4
AGO2
CHRM3
MARCHF1
HAGHL
WDHD1
TTK
MEMO1
GPR137B
SRP9
CCSAP
GHR
ZNF503
ESYT3
MAPK4
PIR-FIGF
EPRS1
DNAJC18
ANKRD13D
CACHD1
ADAMTS1
MAGI2
CDYL2
SMIM10
SLC17A7
TF
PLK4
YBX3
ANKRD50
ADM2
BRMS1
GRM4
MAD2L1
EPHA2-AS1
SLX1A
SORBS3
CCNA2
DOCK10
TNFRSF18
FAM83H-AS1
OTUD7A
SOX10
ABHD12
MEOX1
MCOLN2
CSRP1
RNF150
RGMA
DIXDC1
NR2F2-AS1
SCN5A
LRRC59
COL9A3
ADGRB3
ADGRL3
COLGALT2
SLC39A7
IRF8
PPP1R14B-AS1
MCM10
PAMR1
SEMA3G
GCAWKR
IDH2
STAT5A
APCDD1
NAB1
GALNT16
HRC
NAT1
TTC23
MYO1G
NUP155
STAT5B
H2BC18
LINC02691
CKLF
LOC107986925
DCT
CDC20
MYLK
NR4A1
CKMT2
FOXH1
PCDHGA10
BICDL1
PTPRG
CEP250
LPAR2
PITX1-AS1
TOP2A
ZNF100
PCSK7
ZAP70
PTPN1
NCAPG
HCN2
NOXO1
SAV1
ATOH8
TROAP
ADAMTS18
NCAPG2
ALDH3A2
TSEN15
FAM78A
HLA-DPA1
P2RY6
TRIM29
FHL1
MED14
ETV7
ITGA6
HABP4
DAAM2
LOXL4
SHCBP1
TMOD1
CSTF2
MAML2
CTHRC1
CCDC167
IGSF10
SKA1
CACNB3
CCNB2
LEPR
ZBTB16
CHRM4
BLM
B3GALT1
UNC5B
