Top_Genes
HIF3A
MME
NFIB
GABARAPL1
CREB5
MYOM3
TMEM220
MEOX1
ALDH3A1
EVPL
TPO
TNS1
CD5
SRP54
CFL2
TBL2
BCHE
PYGM
LCN10
UNC5B
PAK3
COMP
NAALAD2
COL10A1
PPP2R2C
TTLL10
NMNAT2
PPL
BNC1
TSPAN17
GPIHBP1
CDC25A
TNXB
CDKN2A
SLC7A10
CFL1
ADAM33
B4GALT3
SPATS2
BMP5
SPRY2
ADAMTS5
PTCHD1
CSRNP3
NRN1
HSD17B6
CNKSR2
ITIH5
IL4I1
SPTBN1
KDR
LGI4
PSMB3
CDC7
PCOLCE2
LDHD
CILP2
ARF1
TNFRSF10D
GK
NVL
C14orf180
PITX1
KIF26B
MUC1
IL11RA
F11R
BGN
CCL28
STOX2
TMPRSS6
SLC37A1
NACC1
NCAM1
TTYH1
ADAMTS14
ZNF219
NPR1
NRIP3
ADRA2B
TF
CCNE2
CA4
PAX5
ZNF281
PAMR1
GRM4
DPEP1
ATOH8
LINGO1
ETV7
CTHRC1
